City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,thunder bay,48.4001,-89.3168,53.58,82,20,9.22,CA,1683862552
273,hacienda huancane,-15.8222,-70.8856,33.03,83,100,2.55,PE,1683862673
274,greymouth,-42.4667,171.2,54.36,54,5,2.64,NZ,1683862673
275,ust-nera,64.5667,143.2,41.09,63,100,3.13,RU,1683862624
276,trancas,-26.2314,-65.2803,61.18,73,97,0.38,AR,1683862673
277,xai-xai,-25.0519,33.6442,65.41,85,0,7.56,MZ,1683862673
278,pyapon,16.2833,95.6833,77.47,90,100,1.05,MM,1683862673
279,willowmore,-33.2926,23.4895,49.15,78,100,14.38,ZA,1683862673
280,gorontalo,0.5412,123.0595,88.11,63,97,6.51,ID,1683862643
281,la almunia de dona godina,41.4767,-1.3745,50.0,75,10,5.23,ES,1683862673
282,hithadhoo,-0.6,73.0833,83.52,75,100,16.49,MV,1683862617
283,kandyagash,49.4744,57.4233,61.59,67,100,9.62,KZ,1683862673
284,nanpiao,41.0982,120.7479,81.95,20,27,15.97,CN,1683862674
285,bayevo,53.2833,80.7667,56.86,42,71,5.55,RU,1683862674
286,vila velha,-20.3297,-40.2925,73.94,89,75,3.44,BR,1683862635
287,villa gesell,-37.2639,-56.973,55.06,78,10,8.12,AR,1683862639
288,leua,48.2156,18.6071,51.3,81,100,7.34,SK,1683862674
289,onguday,50.75,86.15,61.43,55,100,4.36,RU,1683862674
290,crane,31.3974,-102.3501,75.58,12,1,3.58,US,1683862631
291,loreto,22.2667,-101.9667,69.01,19,1,10.49,MX,1683862674
292,bonthe,7.5264,-12.505,79.65,84,67,4.34,SL,1683862636
293,soio,-6.1349,12.3689,78.85,91,72,6.44,AO,1683862674
294,arraial do cabo,-22.9661,-42.0278,72.48,74,96,10.74,BR,1683862332
295,whitehorse,60.7161,-135.0538,56.17,35,75,13.8,CA,1683862606
296,fang,19.9169,99.2145,94.57,43,80,2.35,TH,1683862674
297,svetlyy,54.675,20.1347,47.97,76,3,8.05,RU,1683862674
298,kavaratti,10.5669,72.642,84.97,67,100,5.84,IN,1683862674
299,nikel,69.4128,30.222,42.98,100,100,4.27,RU,1683862674
300,codrington,-38.2667,141.9667,59.38,58,59,7.9,AU,1683862625
301,marrakesh,31.6315,-8.0083,62.67,63,0,8.05,MA,1683862509
302,malango,-2.9627,119.9001,83.77,61,91,4.38,ID,1683862674
303,borinskoye,52.4569,39.3713,48.36,80,70,8.75,RU,1683862674
304,lagos de moreno,21.35,-101.9167,68.92,20,2,5.79,MX,1683862674
305,akureyri,65.6835,-18.0878,48.13,76,100,21.85,IS,1683862675
306,de aar,-30.6497,24.0123,50.27,42,100,3.0,ZA,1683862675
307,broken hill,-31.95,141.4333,68.02,25,44,4.03,AU,1683862639
308,geraldton,-28.7667,114.6,81.01,29,7,14.97,AU,1683862423
309,pionerskiy,54.9508,20.2275,47.75,58,4,10.83,RU,1683862675
310,lieto,60.5103,22.4618,42.96,80,0,1.14,FI,1683862675
311,sur,22.5667,59.5289,92.57,40,0,7.63,OM,1683862630
312,st. john's,47.5649,-52.7093,38.28,66,40,19.57,CA,1683862640
313,ta`u,-14.2336,-169.5144,82.08,75,23,9.78,AS,1683862642
314,khanty-mansiysk,61.0042,69.0019,39.31,60,0,8.99,RU,1683862675
315,petauke,-14.2426,31.3253,56.01,73,0,3.24,ZM,1683862637
316,north bend,43.4065,-124.2243,55.17,87,100,8.05,US,1683862675
317,hawkinsville,32.2838,-83.4721,73.63,93,100,6.04,US,1683862675
318,prince rupert,54.3161,-130.3201,57.29,51,75,21.85,CA,1683862631
319,argo,37.6333,22.7333,53.78,87,11,4.23,GR,1683862549
320,ebebiyin,2.1511,11.3353,67.91,99,100,0.81,GQ,1683862675
321,fale old settlement,-9.3852,-171.2468,83.8,76,25,13.38,TK,1683862620
322,margate,51.3813,1.3862,51.87,89,100,8.99,GB,1683862630
323,amga,60.8953,131.9608,41.56,44,100,5.88,RU,1683862675
324,filipstad,59.7124,14.1683,47.73,65,30,1.97,SE,1683862675
325,mount isa,-20.7333,139.5,82.17,26,0,13.8,AU,1683862675
326,mersa matruh,31.3525,27.2453,64.6,82,40,10.36,EG,1683862676
327,kimberley,-28.7323,24.7623,51.49,62,0,9.22,ZA,1683862676
328,sirte,31.2089,16.5887,63.61,81,0,3.98,LY,1683862676
329,recani,31.2846,-4.2688,76.01,23,26,15.26,MA,1683862676
330,buka,40.8108,69.1986,78.01,32,100,6.82,UZ,1683862577
331,mili,6.0815,171.735,81.57,83,81,20.58,MH,1683862676
332,agua dulce,18.1333,-94.1333,80.02,74,93,5.44,MX,1683862676
333,resita,45.3008,21.8892,54.9,76,100,8.05,RO,1683862676
334,bikin,46.8161,134.26,68.92,30,3,6.82,RU,1683862676
335,san diego,32.7153,-117.1573,61.88,81,75,9.22,US,1683862459
336,anaconda,46.1285,-112.9423,49.19,80,87,3.44,US,1683862676
337,baiyin,36.5583,104.2081,66.45,15,100,6.8,CN,1683862676
338,mugia,43.1041,-9.2179,55.17,80,70,14.97,ES,1683862676
339,isangel,-19.55,169.2667,78.91,94,100,2.3,VU,1683862667
340,andergrove,-21.0833,149.1833,77.65,75,10,16.89,AU,1683862627
341,mahina,-17.5065,-149.489,82.17,69,75,3.44,PF,1683862535
342,akune,32.0167,130.2,70.9,57,75,8.95,JP,1683862676
343,san luis de la loma,17.2706,-100.8939,81.32,78,91,2.17,MX,1683862637
344,bondoukou,8.0333,-2.8,73.56,97,64,4.61,CI,1683862676
345,kurtamysh,54.9103,64.4319,52.12,50,75,10.13,RU,1683862677
346,hanceville,34.0607,-86.7675,69.66,97,100,5.75,US,1683862677
347,guabiraba,-8.4167,-35.6667,67.14,95,23,1.99,BR,1683862677
348,pemba,-12.974,40.5178,74.1,100,75,5.75,MZ,1683862677
349,axim,4.8699,-2.2405,80.4,84,100,3.83,GH,1683862677
350,touros,-5.1989,-35.4608,78.44,80,90,8.55,BR,1683862622
351,okhotsk,59.3833,143.3,38.3,78,100,7.09,RU,1683862677
352,palu,-0.8917,119.8707,91.67,52,99,2.39,ID,1683862677
353,quirinopolis,-18.4483,-50.4517,65.97,92,63,3.85,BR,1683862475
354,katsina-ala,7.1667,9.2833,79.2,83,99,9.86,NG,1683862677
355,severo-yeniseyskiy,60.3725,93.0408,32.16,74,100,9.06,RU,1683862677
356,booue,-0.0921,11.9385,73.2,99,100,1.59,GA,1683862677
357,mao,39.8885,4.2658,54.16,94,0,3.44,ES,1683862677
358,las palmas,28.4204,-14.0131,63.39,77,100,21.85,ES,1683862677
359,timaru,-44.4,171.25,58.06,67,100,5.01,NZ,1683862677
360,garachico,28.7781,-17.7646,64.51,68,75,13.8,ES,1683862643
361,wahpeton,46.2652,-96.6059,70.52,77,100,6.91,US,1683862677
362,sangsong-ni,39.1694,126.8856,68.72,37,100,8.84,KP,1683862677
363,yuzhno-kurilsk,44.0306,145.8556,46.4,66,13,3.09,RU,1683862626
364,gaogou,34.0175,119.1886,75.24,40,10,6.29,CN,1683862678
365,shingu,33.7333,135.9833,68.29,50,24,5.79,JP,1683862678
